IndexName,Date,Close,EPS,P/E,P/B,Div Yield %
NIFTY 50,31-Oct-02,951.4,66,14.47,2.43,2.21
NIFTY 50,30-Oct-02,937.75,66,14.26,2.39,2.24
NIFTY 50,29-Oct-02,936.9,66,14.25,2.39,2.24
NIFTY 50,28-Oct-02,922.7,66,14.03,2.35,2.28
NIFTY 50,25-Oct-02,932.2,67,13.83,2.32,2.31
NIFTY 50,24-Oct-02,946.9,67,14.05,2.36,2.28
NIFTY 50,23-Oct-02,957.35,67,14.2,2.38,2.25
NIFTY 50,22-Oct-02,962.5,67,14.28,2.39,2.24
NIFTY 50,21-Oct-02,967.35,67,14.35,2.41,2.23
NIFTY 50,18-Oct-02,971.65,67,14.41,2.42,2.22
NIFTY 50,17-Oct-02,973.3,67,14.44,2.42,2.21
NIFTY 50,16-Oct-02,973.6,67,14.44,2.42,2.21
NIFTY 50,14-Oct-02,972.45,67,14.42,2.42,2.22
NIFTY 50,11-Oct-02,971.05,67,14.4,2.42,2.22
NIFTY 50,10-Oct-02,958.45,67,14.22,2.38,2.25
NIFTY 50,09-Oct-02,954.75,67,14.21,2.38,2.25
NIFTY 50,08-Oct-02,960.8,67,14.3,2.4,2.24
NIFTY 50,07-Oct-02,954.75,67,14.21,2.38,2.25
NIFTY 50,04-Oct-02,948.2,67,14.11,2.37,2.27
NIFTY 50,03-Oct-02,948.2,67,14.11,2.37,2.27
NIFTY 50,01-Oct-02,955.2,67,14.21,2.38,2.25
NIFTY 50,30-Sep-02,963.15,67,14.33,2.4,2.23
NIFTY 50,27-Sep-02,976.45,67,14.53,2.44,2.2
NIFTY 50,26-Sep-02,969.9,67,14.43,2.42,2.22
NIFTY 50,25-Sep-02,970.05,67,14.43,2.42,2.22
NIFTY 50,24-Sep-02,966.2,67,14.38,2.41,2.22
NIFTY 50,23-Sep-02,970.3,67,14.44,2.42,2.21
NIFTY 50,20-Sep-02,969.6,67,14.43,2.42,2.22
NIFTY 50,19-Sep-02,976.05,67,14.52,2.44,2.2
NIFTY 50,18-Sep-02,983.6,67,14.63,2.45,2.18
NIFTY 50,17-Sep-02,994.9,67,14.8,2.48,2.16
NIFTY 50,16-Sep-02,985.75,67,14.67,2.46,2.18
NIFTY 50,13-Sep-02,992,67,14.76,2.48,2.17
