date,symbol,weight,in_index,source
2008-06-30,AMBUJACEM,0.4801,1.0,historic_data_figshare
2008-06-30,BHARTIARTL,5.62112,1.0,historic_data_figshare
2008-06-30,BHEL,2.77055,1.0,historic_data_figshare
2008-06-30,BPCL,0.33007,1.0,historic_data_figshare
2008-06-30,CAIRN,2.14043,1.0,historic_data_figshare
2008-06-30,CIPLA,0.67013,1.0,historic_data_figshare
2008-06-30,DLF,2.78056,1.0,historic_data_figshare
2008-06-30,DRREDDY,0.46009,1.0,historic_data_figshare
2008-06-30,GAIL,1.16023,1.0,historic_data_figshare
2008-06-30,GRASIM,0.70014,1.0,historic_data_figshare
2008-06-30,HCLTECH,0.69014,1.0,historic_data_figshare
2008-06-30,HDFC,2.29046,1.0,historic_data_figshare
2008-06-30,HDFCBANK,1.47029,1.0,historic_data_figshare
2008-06-30,HEROMOTOCO,0.57011,1.0,historic_data_figshare
2008-06-30,HINDALCO,0.72014,1.0,historic_data_figshare
2008-06-30,HINDUNILVR,1.85037,1.0,historic_data_figshare
2008-06-30,ICICIBANK,2.88058,1.0,historic_data_figshare
2008-06-30,IDEA,1.0102,1.0,historic_data_figshare
2008-06-30,INFY,4.08082,1.0,historic_data_figshare
2008-06-30,ITC,2.91058,1.0,historic_data_figshare
2008-06-30,LT,2.62052,1.0,historic_data_figshare
2008-06-30,M&M,0.4901,1.0,historic_data_figshare
2008-06-30,MARUTI,0.73015,1.0,historic_data_figshare
2008-06-30,NATIONALUM,0.93019,1.0,historic_data_figshare
2008-06-30,NTPC,5.15103,1.0,historic_data_figshare
2008-06-30,ONGC,7.16143,1.0,historic_data_figshare
2008-06-30,PNB,0.4801,1.0,historic_data_figshare
2008-06-30,POWERGRID,1.36027,1.0,historic_data_figshare
2008-06-30,RANBAXY,0.80016,1.0,historic_data_figshare
2008-06-30,RCOM,3.75075,1.0,historic_data_figshare
2008-06-30,RELIANCE,12.5125,1.0,historic_data_figshare
2008-06-30,RELINFRA,0.75015,1.0,historic_data_figshare
2008-06-30,RPL,3.15063,1.0,historic_data_figshare
2008-06-30,SAIL,2.37047,1.0,historic_data_figshare
2008-06-30,SATYAMCOMP,1.21024,1.0,historic_data_figshare
2008-06-30,SBIN,2.90058,1.0,historic_data_figshare
2008-06-30,SIEMENS,0.53011,1.0,historic_data_figshare
2008-06-30,STER,2.03041,1.0,historic_data_figshare
2008-06-30,SUNPHARMA,1.19024,1.0,historic_data_figshare
2008-06-30,SUZLON,1.33027,1.0,historic_data_figshare
2008-06-30,TATACOMM,0.44009,1.0,historic_data_figshare
2008-06-30,TATAMOTORS,0.67013,1.0,historic_data_figshare
2008-06-30,TATAPOWER,0.96019,1.0,historic_data_figshare
2008-06-30,TATASTEEL,2.19044,1.0,historic_data_figshare
2008-06-30,TCS,3.45069,1.0,historic_data_figshare
2008-06-30,UNITECH,1.14023,1.0,historic_data_figshare
2008-06-30,WIPRO,2.64053,1.0,historic_data_figshare
2008-06-30,ZEEL,0.36007,1.0,historic_data_figshare
2008-07-31,ABB,0.61988,1.0,historic_data_figshare
