date,sentiment_mean,positive_count,negative_count,article_count,source
2018-01-11,0.06651430812142857,75,65,140,historic_data_news_sentiment
2018-01-12,-0.025291090292134836,88,90,178,historic_data_news_sentiment
2018-01-13,0.09932075085915493,40,31,71,historic_data_news_sentiment
2018-01-14,0.3392355158,44,21,65,historic_data_news_sentiment
2018-01-15,0.0006260724357798179,109,109,218,historic_data_news_sentiment
2018-01-16,-0.12937805368711655,72,91,163,historic_data_news_sentiment
2018-01-17,-0.03807814524064171,89,98,187,historic_data_news_sentiment
2018-01-18,0.03184288546788991,114,104,218,historic_data_news_sentiment
2018-01-19,-0.0276823506,81,84,165,historic_data_news_sentiment
2018-01-20,-0.11745918226829269,18,23,41,historic_data_news_sentiment
2018-01-21,0.1912110072,38,27,65,historic_data_news_sentiment
2018-01-22,0.1507426871048951,83,60,143,historic_data_news_sentiment
2018-01-23,0.3428431708987342,162,75,237,historic_data_news_sentiment
2018-01-24,0.023232871311004787,106,103,209,historic_data_news_sentiment
2018-01-25,0.07577045005434782,99,85,184,historic_data_news_sentiment
2018-01-26,0.043914327457142854,36,34,70,historic_data_news_sentiment
2018-01-27,0.10573028578431373,28,23,51,historic_data_news_sentiment
2018-01-28,0.20684272971830986,44,27,71,historic_data_news_sentiment
2018-01-29,0.07160624580743244,159,137,296,historic_data_news_sentiment
2018-01-30,-0.060878562156521744,110,120,230,historic_data_news_sentiment
2018-01-31,0.010736867621052632,49,46,95,historic_data_news_sentiment
2018-02-01,-0.00488716610796915,196,193,389,historic_data_news_sentiment
2018-02-02,-0.15591047653231938,109,154,263,historic_data_news_sentiment
2018-02-03,0.09673866972857142,39,31,70,historic_data_news_sentiment
2018-02-04,0.002932153105769227,51,53,104,historic_data_news_sentiment
2018-02-05,-0.20285676161333335,30,45,75,historic_data_news_sentiment
2018-02-06,-0.09856319081052631,85,105,190,historic_data_news_sentiment
2018-02-07,0.03835182623367698,152,139,291,historic_data_news_sentiment
