date,nifty_pe,nifty_pb,nifty_dividend_yield,nifty_close,nifty_eps,source,source_file
1999-08-13,19.56,3.39,1.12,1291.85,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-16,19.83,3.44,1.1,1309.9,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-17,20.03,3.47,1.09,1322.7,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-18,20.64,3.58,1.06,1363.35,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-19,20.37,3.53,1.07,1345.0,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-20,20.4,3.54,1.01,1347.3,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-23,20.74,3.6,0.99,1369.7,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-24,20.94,3.63,0.98,1382.65,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-25,20.79,3.6,1.09,1371.65,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-26,21.25,3.68,1.07,1402.5,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-27,21.48,3.72,1.06,1417.5,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-30,21.56,3.74,1.05,1422.6,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-08-31,21.4,3.71,1.06,1412.0,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-01,21.38,3.71,1.06,1410.7,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-02,20.85,3.61,1.09,1375.85,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-03,20.84,3.61,1.08,1374.95,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-06,21.07,3.65,1.07,1390.2,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-07,20.96,3.63,1.08,1383.25,66.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-09-08,21.73,3.87,1.04,1399.5,64.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
