symbol,bse_symbol,company_name,source
OSWALPUMPS,OSWALPUMPS,Oswal Pumps Limited,historic_data_archive7
URBANCO,URBANCO,Urban Company Limited,historic_data_archive7
MUKKA,MUKKA,Mukka Proteins Limited,historic_data_archive7
MAXIND,MAXIND,Max India Limited,historic_data_archive7
ADL,ADL,Archidply Decor Limited,historic_data_archive7
KMEW,KMEW,Knowledge Marine & Engineering Works Limited,historic_data_archive7
WCIL,WCIL,Western Carriers (India) Limited,historic_data_archive7
RATEGAIN,RATEGAIN,Rategain Travel Technologies Limited,historic_data_archive7
MOL,MOL,Meghmani Organics Limited,historic_data_archive7
GMRP&UI,GMRP&UI,GMR Power and Urban Infra Limited,historic_data_archive7
ANTHEM,ANTHEM,Anthem Biosciences Limited,historic_data_archive7
SIGACHI,SIGACHI,Sigachi Industries Limited,historic_data_archive7
AAATECH,AAATECH,AAA Technologies Limited,historic_data_archive7
IPL,IPL,India Pesticides Limited,historic_data_archive7
KSOLVES,KSOLVES,Ksolves India Limited,historic_data_archive7
