date,index_name,index_slug,source,source_file,open,high,low,close
2026-06-22,NIFTY MIDSMALL HEALTHCARE,midsmall_health,nse_sector_csv,NIFTY MIDSMALL HEALTHCARE_Historical_PR_18072025to17072026.csv,48658.2,48828.65,48386.8,48776.25
2026-06-22,NIFTY MIDSMALL IT & TELECOM,midsmall_it,nse_sector_csv,NIFTY MIDSMALL IT & TELECOM_Historical_PR_18072025to17072026.csv,9527.55,9606.65,9504.85,9523.2
2026-06-22,NIFTY 50,nifty50,nse_sector_csv,NIFTY 50_Historical_PR_18072025to17072026.csv,24106.6,24168.05,24073.15,24102.9
2026-06-22,NIFTY OIL & GAS,oil_gas,nse_sector_csv,NIFTY OIL & GAS_Historical_PR_18072025to17072026.csv,11237.15,11324.75,11193.65,11273.05
2026-06-22,NIFTY PHARMA,pharma,nse_sector_csv,NIFTY PHARMA_Historical_PR_18072025to17072026.csv,24558.75,24778.3,24468.4,24762.9
2026-06-22,NIFTY POWER,power,nse_sector_csv,NIFTY POWER_Historical_PR_18072025to17072026.csv,,,,9455.94
2026-06-22,NIFTY PRIVATE BANK,private_bank,nse_sector_csv,NIFTY PRIVATE BANK_Historical_PR_18072025to17072026.csv,28007.65,28048.2,27939.6,27977.95
2026-06-22,NIFTY PSU BANK,psu_bank,nse_sector_csv,NIFTY PSU BANK_Historical_PR_18072025to17072026.csv,8737.4,8772.7,8697.25,8763.9
2026-06-23,NIFTY METAL,metal,nse_sector_csv,NIFTY METAL_Historical_PR_18072025to17072026.csv,12987.7,12987.7,12617.75,12669.1
2026-06-23,NIFTY MIDSMALL FINANCIAL SERVICES,midsmall_fin,nse_sector_csv,NIFTY MIDSMALL FINANCIAL SERVICES_Historical_PR_18072025to17072026.csv,22604.15,22607.7,22180.65,22217.05
2026-06-23,NIFTY MIDSMALL HEALTHCARE,midsmall_health,nse_sector_csv,NIFTY MIDSMALL HEALTHCARE_Historical_PR_18072025to17072026.csv,48972.15,49836.85,48925.85,49301.95
2026-06-23,NIFTY MIDSMALL IT & TELECOM,midsmall_it,nse_sector_csv,NIFTY MIDSMALL IT & TELECOM_Historical_PR_18072025to17072026.csv,9502.05,9514.3,9370.15,9400.85
2026-06-23,NIFTY 50,nifty50,nse_sector_csv,NIFTY 50_Historical_PR_18072025to17072026.csv,24071.3,24135.5,23784.95,23824.1
2026-06-23,NIFTY OIL & GAS,oil_gas,nse_sector_csv,NIFTY OIL & GAS_Historical_PR_18072025to17072026.csv,11293.65,11306.95,11149.55,11171.3
2026-06-23,NIFTY PHARMA,pharma,nse_sector_csv,NIFTY PHARMA_Historical_PR_18072025to17072026.csv,24863.9,25294.5,24838.8,24989.95
2026-06-23,NIFTY POWER,power,nse_sector_csv,NIFTY POWER_Historical_PR_18072025to17072026.csv,,,,9349.12
2026-06-23,NIFTY PRIVATE BANK,private_bank,nse_sector_csv,NIFTY PRIVATE BANK_Historical_PR_18072025to17072026.csv,27924.05,28106.8,27695.5,27762.6
2026-06-23,NIFTY PSU BANK,psu_bank,nse_sector_csv,NIFTY PSU BANK_Historical_PR_18072025to17072026.csv,8778.95,8782.2,8576.9,8591.0
2026-06-24,NIFTY METAL,metal,nse_sector_csv,NIFTY METAL_Historical_PR_18072025to17072026.csv,12611.95,12712.45,12497.2,12618.75
2026-06-24,NIFTY MIDSMALL FINANCIAL SERVICES,midsmall_fin,nse_sector_csv,NIFTY MIDSMALL FINANCIAL SERVICES_Historical_PR_18072025to17072026.csv,22187.45,22400.75,22095.65,22319.2
2026-06-24,NIFTY MIDSMALL HEALTHCARE,midsmall_health,nse_sector_csv,NIFTY MIDSMALL HEALTHCARE_Historical_PR_18072025to17072026.csv,49394.25,49729.2,49170.25,49201.0
2026-06-24,NIFTY MIDSMALL IT & TELECOM,midsmall_it,nse_sector_csv,NIFTY MIDSMALL IT & TELECOM_Historical_PR_18072025to17072026.csv,9396.7,9502.0,9388.65,9462.25
